Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
104,tt0036775,2016-10-22,2016-10-22,,"La fiamma del peccato","Double Indemnity",https://www.imdb.com/title/tt0036775/,Film,8.3,107,1944,"Poliziesco, Drammatico, Noir, Giallo, Thriller",179636,1946-10-12,"Billy Wilder",,
105,tt0038355,2016-10-22,2016-10-22,,"Il grande sonno","The Big Sleep",https://www.imdb.com/title/tt0038355/,Film,7.9,114,1946,"Poliziesco, Drammatico, Noir, Giallo, Thriller",94843,1947-12-23,"Howard Hawks",,
106,tt0040506,2016-10-22,2016-10-22,,"L'isola di corallo","Key Largo",https://www.imdb.com/title/tt0040506/,Film,7.7,100,1948,"Azione, Poliziesco, Drammatico, Noir, Thriller",46644,1949-11-11,"John Huston",,
107,tt0037382,2016-10-22,2016-10-22,,"Acque del Sud","To Have and Have Not",https://www.imdb.com/title/tt0037382/,Film,7.8,100,1944,"Avventura, Commedia, Drammatico, Noir, Sentimentale, Thriller, Guerra",40798,1947-03-13,"Howard Hawks",,
108,tt0039689,2016-10-22,2016-10-22,,"Le catene della colpa","Out of the Past",https://www.imdb.com/title/tt0039689/,Film,7.9,97,1947,"Poliziesco, Drammatico, Noir, Sentimentale, Thriller",43889,1948-09-02,"Jacques Tourneur",,
109,tt0037008,2016-10-22,2016-10-22,,"Vertigine","Laura",https://www.imdb.com/title/tt0037008/,Film,7.9,88,1944,"Drammatico, Noir, Giallo",55285,1946-06-05,"Otto Preminger, Rouben Mamoulian",,
110,tt0038787,2016-10-22,2016-10-22,,"Notorious - L'amante perduta","Notorious",https://www.imdb.com/title/tt0038787/,Film,7.9,102,1946,"Drammatico, Noir, Giallo, Sentimentale, Thriller",113082,1947-10-30,"Alfred Hitchcock",,
111,tt0042593,2016-10-22,2016-10-22,,"Il diritto di uccidere","In a Lonely Place",https://www.imdb.com/title/tt0042593/,Film,7.9,94,1950,"Drammatico, Noir, Giallo, Sentimentale, Thriller",38699,1951-08,"Nicholas Ray",,
112,tt0038057,2016-10-22,2016-10-22,,"La strada scarlatta","Scarlet Street",https://www.imdb.com/title/tt0038057/,Film,7.7,102,1945,"Poliziesco, Drammatico, Noir, Thriller",20955,1946-10-14,"Fritz Lang",,
113,tt0042530,2016-10-22,2016-10-22,,"La sanguinaria","Gun Crazy",https://www.imdb.com/title/tt0042530/,Film,7.6,87,1950,"Poliziesco, Drammatico, Noir, Sentimentale, Thriller",16413,1951-03-13,"Joseph H. Lewis",,
114,tt0041959,2016-10-22,2016-10-22,,"Il terzo uomo","The Third Man",https://www.imdb.com/title/tt0041959/,Film,8.1,104,1949,"Drammatico, Noir, Giallo, Thriller",193804,1949-11-30,"Carol Reed",,
